Image,Claude_CPE,Claude_Types,ChatGPT_CPE,ChatGPT_Types,Gemini_CPE,Gemini_Types,Grok_CPE,Grok_Types,CRO_CPE,CRO_Types
EXP_path1_passage4_101.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None
EXP_path1_passage4_102.png,Yes,"rounding, detachment, refractile cells, vacuolation, granularity",Yes,"refractile cells, dying cells, vacuolation, rounding, detachment",Yes,"rounding, refractile cells, granularity, vacuolation, dying cells",Yes,"refractile cells, dying cells, rounding, vacuolation, detachment",No,None
EXP_path1_passage4_103.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, detachment, rounding, vacuolation, dying cells",No,None,Yes,"refractile cells, rounding, detachment, vacuolation, dying cells",No,None
EXP_path1_passage4_104.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, dying cells, rounding, granularity, vacuolation, detachment",Yes,"rounding, refractile cells, detachment, dying cells, granularity",Yes,"refractile cells, dying cells, rounding, granularity, vacuolation, syncytium formation, detachment",No,None
EXP_path1_passage4_105.png,Yes,"rounding, refractile cells, detachment, granularity",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None
EXP_path1_passage4_106.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, dying cells, rounding, vacuolation, detachment, granularity",No,None,Yes,"refractile cells, rounding, vacuolation, dying cells, detachment, granularity",No,None
EXP_path1_passage4_107.png,Yes,"rounding, refractile cells, detachment, granularity",Yes,"rounding, refractile cells, dying cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, dying cells, vacuolation",No,None
EXP_path1_passage4_108.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment, syncytium formation",Yes,"rounding, refractile cells, dying cells, detachment",Yes,"refractile cells, dying cells, rounding, vacuolation, detachment, granularity, syncytium formation",No,None
EXP_path1_passage4_109.png,Yes,"rounding, refractile cells, detachment, granularity",Yes,"rounding, refractile cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None
EXP_path1_passage4_110.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",Yes,"refractile cells, vacuolation, dying cells, rounding, granularity, detachment",Yes,"granularity, rounding, refractile cells, dying cells",Yes,"refractile cells, dying cells, vacuolation, rounding, granularity, detachment",No,None
EXP_path1_passage4_201.png,Yes,"rounding, detachment, granularity, refractile cells",Yes,"rounding, refractile cells, vacuolation, detachment",No,None,Yes,"rounding, refractile cells, vacuolation, detachment",No,None
EXP_path1_passage4_202.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, detachment, vacuolation, rounding, granularity, dying cells",Yes,"rounding, refractile cells",Yes,"refractile cells, rounding, detachment, granularity, vacuolation, irregular cell borders, syncytium formation, dying cells",No,None
EXP_path1_passage4_203.png,No,None,Yes,"rounding, refractile cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation",No,None
EXP_path1_passage4_204.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, vacuolation, dying cells, rounding, granularity, detachment",No,None,Yes,"refractile cells, vacuolation, dying cells, rounding, granularity, detachment",No,None
EXP_path1_passage4_205.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, vacuolation, detachment",No,None,Yes,"rounding, refractile cells, vacuolation, detachment",No,None
EXP_path1_passage4_206.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, vacuolation, dying cells, rounding, detachment, granularity",No,None,Yes,"refractile cells, vacuolation, dying cells, rounding, detachment",No,None
EXP_path1_passage4_207.png,Yes,"rounding, detachment, refractile cells, granularity",No,"refractile cells, irregular cell borders, micro-gaps, slight rounding",No,None,Yes,"rounding, refractile cells, vacuolation, detachment",No,None
EXP_path1_passage4_208.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",No,"refractile cells, irregular cell borders, vacuolation",No,None,Yes,"refractile cells, dying cells, vacuolation, rounding, granularity",No,None
EXP_path1_passage4_209.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None
EXP_path1_passage4_210.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, vacuolation, granularity, dying cells, detachment, irregular cell borders",No,None,Yes,"refractile cells, vacuolation, detachment, granularity, rounding, dying cells, irregular cell borders",No,None
EXP_path1_passage4_301.png,Yes,"detachment, rounding, refractile cells, granularity",No,"irregular cell borders, refractile cells, micro-gaps, rounding, uneven cell density",No,None,No,"irregular cell borders, refractile cells, micro-gaps, rounding",No,None
EXP_path1_passage4_302.png,Yes,"detachment, rounding, refractile cells",No,"irregular cell borders, refractile cells, micro-gaps, vacuolation, uneven cell density",No,None,No,"irregular cell borders, refractile cells, micro-gaps, vacuolation, uneven cell density",No,None
EXP_path1_passage4_303.png,Yes,"rounding, detachment, granularity, vacuolation, refractile cells",Yes,"rounding, vacuolation, refractile cells, detachment",No,None,No,"refractile cells, irregular cell borders, rounding, micro-gaps",No,None
EXP_path1_passage4_304.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"vacuolation, refractile cells, dying cells, rounding",No,None,Yes,"vacuolation, refractile cells, irregular cell borders, dying cells, detachment, rounding",No,None
EXP_path1_passage4_305.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, vacuolation, refractile cells",No,None,Yes,"rounding, vacuolation, refractile cells, detachment",No,None
EXP_path1_passage4_306.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",Yes,"detachment, vacuolation, refractile cells, micro-gaps, rounding",No,None,Yes,"detachment, refractile cells, dying cells, micro-gaps, rounding, vacuolation",No,None
EXP_path1_passage4_307.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",Yes,"rounding, vacuolation, refractile cells, dying cells",No,None,Yes,"rounding, vacuolation, refractile cells, detachment, dying cells",No,None
EXP_path1_passage4_308.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",Yes,"refractile cells, detachment, vacuolation, dying cells, rounding",No,None,Yes,"refractile cells, vacuolation, dying cells, rounding, detachment",No,None
EXP_path1_passage4_309.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation",No,None
EXP_path1_passage4_310.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, vacuolation, dying cells",No,None,Yes,"refractile cells, dying cells, vacuolation, rounding, detachment",No,None
EXP_path1_passage4_401.png,Yes,"detachment, rounding, refractile cells, granularity",No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None,No,"irregular cell borders, micro-gaps, refractile cells, vacuolation, rounding",No,None
EXP_path1_passage4_402.png,Yes,"detachment, rounding, granularity, refractile cells, vacuolation",Yes,"vacuolation, refractile cells, granularity",No,None,No,None,No,None
EXP_path1_passage4_403.png,Yes,"detachment, rounding, granularity, refractile cells",No,"irregular cell borders, micro-gaps, refractile cells, rounding, vacuolation",No,None,No,"irregular cell borders, micro-gaps, refractile cells",No,None
EXP_path1_passage4_404.png,Yes,"detachment, rounding, granularity, refractile cells",No,"irregular cell borders, micro-gaps, refractile cells, vacuolation",No,None,Yes,"detachment, vacuolation, refractile cells",No,None
EXP_path1_passage4_405.png,Yes,"detachment, rounding, granularity, refractile cells, vacuolation",No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None,No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None
EXP_path1_passage4_406.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",No,"irregular cell borders, micro-gaps, refractile cells, granularity",No,None,No,"irregular cell borders, refractile cells, micro-gaps, vacuolation",Yes,vacuolation
EXP_path1_passage4_407.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",No,"irregular cell borders, micro-gaps, refractile cells, vacuolation, uneven cell density",No,None,No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None
EXP_path1_passage4_408.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation, syncytium formation",Yes,"vacuolation, refractile cells, granularity",No,None,No,"irregular cell borders, refractile cells, micro-gaps, uneven cell density, vacuolation",No,None
EXP_path1_passage4_409.png,Yes,"detachment, rounding, granularity, vacuolation, refractile cells",No,"irregular cell borders, refractile cells, micro-gaps, vacuolation",No,None,No,"irregular cell borders, micro-gaps, refractile cells, vacuolation",No,None
EXP_path1_passage4_410.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"vacuolation, refractile cells, dying cells",Yes,"rounding, refractile cells, detachment",Yes,"detachment, refractile cells, rounding, vacuolation",No,None
EXP_path1_passage4_501.png,Yes,"rounding, detachment, refractile cells, granularity",No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None,No,"irregular cell borders, micro-gaps, refractile cells, uneven cell density, rounding",No,None
EXP_path1_passage4_502.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation, syncytium formation",No,"irregular cell borders, micro-gaps, refractile cells",No,None,Yes,"refractile cells, rounding, detachment, syncytium formation, irregular cell borders, vacuolation, dying cells, granularity",No,None
EXP_path1_passage4_503.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",No,"irregular cell borders, micro-gaps, refractile cells, uneven cell density",No,None,No,"irregular cell borders, micro-gaps, refractile cells, rounding, uneven cell density",No,None
EXP_path1_passage4_504.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",No,"irregular cell borders, refractile cells, micro-gaps, uneven cell density, detachment, vacuolation",No,None,Yes,"refractile cells, vacuolation, dying cells, granularity, detachment",No,None
EXP_path1_passage4_505.png,Yes,"detachment, rounding, refractile cells, granularity",No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None,No,"irregular cell borders, micro-gaps, refractile cells, rounding",No,None
EXP_path1_passage4_506.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",No,"irregular cell borders, micro-gaps, refractile cells, uneven cell density, vacuolation",No,None,Yes,"vacuolation, refractile cells, detachment, rounding",No,None
EXP_path1_passage4_507.png,Yes,"detachment, rounding, refractile cells, granularity, vacuolation",Yes,"rounding, vacuolation, refractile cells",No,None,No,"irregular cell borders, refractile cells, micro-gaps, rounding",No,None
EXP_path1_passage4_508.png,Yes,"detachment, rounding, refractile cells, granularity",No,"irregular cell borders, refractile cells, vacuolation, micro-gaps, rounding, detachment",No,None,No,"irregular cell borders, refractile cells, micro-gaps, vacuolation, rounding, detachment",No,None
EXP_path1_passage4_509.png,Yes,"detachment, rounding, refractile cells, vacuolation, granularity",No,"irregular cell borders, micro-gaps, refractile cells",No,None,No,"irregular cell borders, micro-gaps, refractile cells",No,None
EXP_path1_passage4_510.png,Yes,"rounding, detachment, granularity, vacuolation, refractile cells",Yes,"vacuolation, refractile cells, detachment, granularity, rounding",No,None,Yes,"vacuolation, refractile cells, detachment, granularity, rounding, micro-gaps",No,None
EXP_path2_passage4_101.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation",Yes,rounding
EXP_path2_passage4_102.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, dying cells",Yes,"refractile cells, rounding, vacuolation, dying cells, detachment",Yes,rounding
EXP_path2_passage4_103.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation",Yes,rounding
EXP_path2_passage4_104.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, dying cells, vacuolation, detachment",No,None,Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,rounding
EXP_path2_passage4_105.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,rounding
EXP_path2_passage4_106.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, dying cells, vacuolation",Yes,"refractile cells, rounding, vacuolation, detachment, dying cells",Yes,rounding
EXP_path2_passage4_107.png,Yes,"rounding, refractile cells, detachment, dying cells, granularity",Yes,"rounding, refractile cells, detachment, dying cells, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,rounding
EXP_path2_passage4_108.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, dying cells, detachment, vacuolation",Yes,"rounding, refractile cells, dying cells",Yes,"rounding, refractile cells, dying cells, detachment, vacuolation",Yes,rounding
EXP_path2_passage4_109.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"detachment, refractile cells, rounding, vacuolation",No,None,Yes,"refractile cells, rounding, detachment, dying cells",Yes,rounding
EXP_path2_passage4_110.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"rounding, refractile cells, dying cells, detachment, vacuolation",Yes,"granularity, refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, dying cells, vacuolation",Yes,rounding
EXP_path2_passage4_201.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, detachment, dying cells, vacuolation",No,None,Yes,"refractile cells, rounding, detachment, vacuolation, dying cells",No,None
EXP_path2_passage4_202.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, dying cells, rounding, vacuolation, detachment",Yes,"rounding, refractile cells, dying cells, detachment",Yes,"refractile cells, rounding, dying cells, detachment, vacuolation, irregular cell borders",Yes,"granularity, refractile cells, rounding"
EXP_path2_passage4_203.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,rounding
EXP_path2_passage4_204.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, dying cells",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,rounding
EXP_path2_passage4_205.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"detachment, refractile cells, rounding, vacuolation, dying cells",No,None,Yes,"detachment, refractile cells, rounding, dying cells, vacuolation",Yes,rounding
EXP_path2_passage4_206.png,Yes,"rounding, detachment, refractile cells, granularity, dying cells",Yes,"rounding, refractile cells, dying cells, vacuolation, detachment",No,None,Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,rounding
EXP_path2_passage4_207.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, dying cells, vacuolation",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,rounding
EXP_path2_passage4_208.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",No,None,Yes,"refractile cells, rounding, dying cells, vacuolation",Yes,rounding
EXP_path2_passage4_209.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, detachment, refractile cells, vacuolation, dying cells",Yes,rounding
EXP_path2_passage4_210.png,Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, detachment, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,rounding
EXP_path2_passage4_212.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, vacuolation, detachment, dying cells",Yes,"rounding, vacuolation, refractile cells, granularity, dying cells",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",N/A,None
EXP_path2_passage4_213.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"rounding, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, detachment, vacuolation",N/A,None
EXP_path2_passage4_301.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation, dying cells",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"rounding, refractile cells, dying cells",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_302.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"granularity, vacuolation, rounding, refractile cells, dying cells, syncytium formation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment, granularity",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_303.png,Yes,"rounding, detachment, refractile cells, granularity, dying cells, syncytium formation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, vacuolation, detachment, dying cells",Yes,"dying cells, vacuolation, rounding, refractile cells"
EXP_path2_passage4_304.png,Yes,"detachment, rounding, refractile cells, granularity, syncytium formation, vacuolation, dying cells",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"refractile cells, rounding, vacuolation, dying cells",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_305.png,N/A,None,N/A,None,N/A,None,N/A,None,Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_306.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation, syncytium formation",Yes,"refractile cells, rounding, dying cells, vacuolation, granularity",Yes,"rounding, refractile cells, dying cells, vacuolation, detachment",Yes,"refractile cells, rounding, dying cells, vacuolation, granularity",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_307.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, rounding, detachment, dying cells, vacuolation",Yes,"rounding, refractile cells, syncytium formation, dying cells, granularity",Yes,"rounding, refractile cells, detachment, dying cells",No,None
EXP_path2_passage4_308.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"refractile cells, dying cells, rounding, detachment",Yes,"rounding, refractile cells, vacuolation, dying cells, granularity",Yes,"refractile cells, detachment, dying cells, rounding",No,None
EXP_path2_passage4_309.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_310.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation, dying cells",Yes,"rounding, refractile cells, vacuolation, dying cells",Yes,"rounding, refractile cells, vacuolation, granularity, dying cells",Yes,"refractile cells, rounding, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_401.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_402.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",No,None,Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",Yes,"dying cells, vacuolation, rounding, refractile cells"
EXP_path2_passage4_403.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, vacuolation, detachment, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_404.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, dying cells, vacuolation, detachment",No,None,Yes,"rounding, refractile cells, dying cells, vacuolation",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_405.png,Yes,"rounding, detachment, refractile cells, granularity",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, rounding"
EXP_path2_passage4_406.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, dying cells, rounding, vacuolation, detachment",No,None,Yes,"refractile cells, dying cells, rounding, vacuolation, detachment",Yes,"dying cells, granularity, rounding"
EXP_path2_passage4_407.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation, dying cells",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_408.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation, dying cells",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_409.png,Yes,"rounding, detachment, granularity, refractile cells, syncytium formation, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_410.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"refractile cells, rounding, dying cells, vacuolation, detachment",No,None,Yes,"refractile cells, rounding, dying cells, detachment",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_501.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",Yes,"rounding, refractile cells, vacuolation, detachment, dying cells",No,None,Yes,"rounding, refractile cells, vacuolation, detachment, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_502.png,Yes,"rounding, detachment, granularity, refractile cells, vacuolation",Yes,"refractile cells, vacuolation, rounding, dying cells, detachment, granularity",No,None,Yes,"rounding, refractile cells, vacuolation, dying cells",Yes,"dying cells, granularity, vacuolation, rounding, refractile cells"
EXP_path2_passage4_503.png,Yes,"rounding, detachment, refractile cells, granularity, vacuolation",Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",No,None,Yes,"rounding, refractile cells, detachment, vacuolation, dying cells",Yes,"dying cells, detached cells / detachment, granularity, vacuolation, refractile cells"
