path,id,CRO_Dy,CRO_Ro,CRO_V,CRO_D,CRO_G,CRO_Re,GPT_Dy,GPT_Ro,GPT_V,GPT_D,GPT_G,GPT_Re,CLD_Dy,CLD_Ro,CLD_V,CLD_D,CLD_G,CLD_Re,Gem_Dy,Gem_Ro,Gem_V,Gem_D,Gem_G,Gem_Re,GRK_Dy,GRK_Ro,GRK_V,GRK_D,GRK_G,GRK_Re
1,101,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,102,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,-2
1,103,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,104,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2
1,105,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,106,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2,-2
1,107,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,108,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,0,-2,-2
1,109,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,110,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2
1,201,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,202,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,0,-2,-2
1,203,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,204,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2,-2
1,205,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,206,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,207,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,208,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2,-2
1,209,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,210,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2,-2
1,301,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,302,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,0,-2,0,0,0,0,0,0,0,0,-2,0,0,-2
1,303,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,304,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,305,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,306,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,307,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,308,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,309,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,310,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
1,401,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,402,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,403,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-2
1,404,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,-2,0,0,-2
1,405,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,406,0,0,1,0,0,0,0,0,-1,0,-2,-2,0,-2,1,0,-2,-2,0,0,-1,0,0,0,0,0,1,0,0,-2
1,407,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,408,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,-2,0,0,-2
1,409,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,-2,0,0,-2
1,410,0,0,0,0,0,0,-2,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,-2,0,0,0,-2,0,-2,-2,0,0,-2
1,501,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,502,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2,-2
1,503,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,504,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,0,-2,0,-2,-2
1,505,0,0,0,0,0,0,0,-2,0,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,506,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,507,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,0,0,0,-2
1,508,0,0,0,0,0,0,0,-2,-2,0,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,0,-2
1,509,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-2
1,510,0,0,0,0,0,0,0,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,-2,-2,0,-2,-2
2,101,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,0,1,-2,0,0,-2
2,102,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,-2,1,0,0,0,-2,-2,1,-2,0,0,-2
2,103,0,1,0,0,0,0,0,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,0,1,-2,0,0,-2
2,104,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,105,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,106,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,-2,1,-2,0,0,-2,-2,1,-2,0,0,-2
2,107,0,1,0,0,0,0,-2,1,-2,0,0,-2,-2,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,108,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,-2,1,0,0,0,-2,-2,1,-2,0,0,-2
2,109,0,1,0,0,0,0,0,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,0,0,0,-2
2,110,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,-2,1,-2,0,-2,-2,-2,1,-2,0,0,-2
2,201,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,0,-2
2,202,0,1,0,0,1,1,-2,1,-2,0,-1,1,0,1,0,0,1,1,-2,1,0,0,-1,1,-2,1,-2,0,-1,1
2,203,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,204,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,-2,1,0,0,0,-2,-2,1,-2,0,0,-2
2,205,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,206,0,1,0,0,0,0,-2,1,-2,0,0,-2,-2,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,207,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,208,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,0,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,209,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,0,-1,0,0,0,0,-2,1,-2,0,0,-2
2,210,0,1,0,0,0,0,-2,1,-2,0,0,-2,0,1,-2,0,-2,-2,0,1,-2,0,-2,-2,-2,1,-2,0,0,-2
2,212,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,-2
2,213,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,0,0,-2
2,301,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,-1,0,-1,1,1,1,1,0,-1,1
2,302,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2,303,1,1,1,0,0,1,1,1,1,0,0,1,1,1,-1,0,-2,1,-1,-1,-1,0,0,-1,1,1,1,0,0,1
2,304,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,-1,1
2,305,1,1,1,0,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1
2,306,1,1,1,0,1,1,1,1,1,0,1,1,-1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1
2,307,0,0,0,0,0,0,-2,-2,-2,0,0,-2,0,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0,-2
2,308,0,0,0,0,0,0,-2,-2,0,0,0,-2,0,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,0,0,-2
2,309,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,310,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,-1,1
2,401,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,402,1,1,1,0,0,1,1,1,1,0,0,1,-1,1,1,0,-2,1,-1,-1,-1,0,0,-1,1,1,1,0,0,1
