path,id,CRO_CPE,model1_prob,model2_prob,model3_prob,avg_dvice_prob,DVICE_CPE
1,101,0,1.0,1.0,0.9991,0.9997,1
1,103,0,0.6017,0.9976,0.0,0.5331,1
1,104,0,0.9743,0.871,0.0001,0.6151,1
1,201,0,1.0,1.0,1.0,1.0,1
1,202,0,0.9995,0.9996,0.6623,0.8871,1
1,305,0,1.0,0.9993,1.0,0.9998,1
1,401,0,1.0,1.0,1.0,1.0,1
1,406,1,1.0,1.0,1.0,1.0,1
1,501,0,1.0,1.0,1.0,1.0,1
2,101,1,0.999,1.0,0.0014,0.6668,1
2,201,0,0.9995,1.0,0.0003,0.6666,1
2,202,1,0.9997,0.897,0.0011,0.6326,1
2,303,1,0.3356,1.0,0.0,0.4452,0
2,307,0,0.0106,1.0,0.0,0.3369,0
2,308,0,0.6835,0.1333,0.0002,0.2723,0
2,402,1,1.0,1.0,0.328,0.776,1
2,405,1,0.9834,1.0,0.0002,0.6612,1
2,406,1,0.9934,0.9979,0.0,0.6638,1
2,503,1,1.0,1.0,0.6524,0.8841,1
2,504,1,0.9998,1.0,0.2012,0.7337,1
2,507,1,0.9627,1.0,0.0003,0.6543,1
2,508,1,0.9888,1.0,0.0018,0.6635,1
